file,SER,SI,PSI,PC,RA
Courseware_10s_20t_50k_1.json,18.00,0.00,22.00,20.00,40.00
Courseware_10s_20t_50k_2.json,17.50,0.00,22.50,20.00,40.00
Courseware_10s_20t_50k_3.json,15.00,0.00,25.00,20.00,40.00
Courseware_10s_20t_50k_4.json,19.50,0.00,20.50,20.00,40.00
Courseware_10s_20t_50k_5.json,19.50,0.00,20.50,20.00,40.00
SmallBank_10s_20t_50k_1.json,11.50,0.00,68.50,20.00,0.00
SmallBank_10s_20t_50k_2.json,12.50,0.00,67.50,20.00,0.00
SmallBank_10s_20t_50k_3.json,11.00,0.00,69.00,20.00,0.00
SmallBank_10s_20t_50k_4.json,11.50,0.00,68.50,20.00,0.00
SmallBank_10s_20t_50k_5.json,12.50,0.00,67.50,20.00,0.00
TPCC_10s_20t_50k_1.json,0.00,0.00,92.00,4.00,4.00
TPCC_10s_20t_50k_2.json,0.00,0.00,92.00,4.00,4.00
TPCC_10s_20t_50k_3.json,0.00,0.00,92.00,4.00,4.00
TPCC_10s_20t_50k_4.json,0.00,0.00,92.00,4.00,4.00
TPCC_10s_20t_50k_5.json,0.00,0.00,92.00,4.00,4.00
