strategy,file,benchmark,committed,aborted,throughput_tx_per_sec,avg_latency_ms
SER,Courseware_10s_20t_50k_1.json,Courseware,193,7,14.8679,607.7098
SER,Courseware_10s_20t_50k_2.json,Courseware,192,8,14.9754,606.2760
SER,Courseware_10s_20t_50k_3.json,Courseware,195,5,15.1527,607.7795
SER,Courseware_10s_20t_50k_4.json,Courseware,193,7,14.7938,613.3627
SER,Courseware_10s_20t_50k_5.json,Courseware,192,8,14.4796,609.4531
SER,SmallBank_10s_20t_50k_1.json,SmallBank,186,14,14.2104,611.6882
SER,SmallBank_10s_20t_50k_2.json,SmallBank,190,10,15.0316,610.6316
SER,SmallBank_10s_20t_50k_3.json,SmallBank,189,11,14.4363,605.6402
SER,SmallBank_10s_20t_50k_4.json,SmallBank,188,12,14.4905,608.3777
SER,SmallBank_10s_20t_50k_5.json,SmallBank,194,6,15.2600,605.0258
SER,TPCC_10s_20t_50k_1.json,TPCC,188,12,14.4604,607.5319
SER,TPCC_10s_20t_50k_2.json,TPCC,183,17,14.5910,606.6120
SER,TPCC_10s_20t_50k_3.json,TPCC,186,14,14.7713,605.9086
SER,TPCC_10s_20t_50k_4.json,TPCC,184,16,14.4223,605.4076
SER,TPCC_10s_20t_50k_5.json,TPCC,185,15,14.8559,606.4378
SI-SER,Courseware_10s_20t_50k_1.json,Courseware,200,0,17.6788,531.6950
SI-SER,Courseware_10s_20t_50k_2.json,Courseware,196,4,15.6938,524.6480
SI-SER,Courseware_10s_20t_50k_3.json,Courseware,194,6,16.7849,517.2577
SI-SER,Courseware_10s_20t_50k_4.json,Courseware,194,6,15.2157,518.8299
SI-SER,Courseware_10s_20t_50k_5.json,Courseware,197,3,16.0843,523.7563
SI-SER,SmallBank_10s_20t_50k_1.json,SmallBank,191,9,16.9326,522.7906
SI-SER,SmallBank_10s_20t_50k_2.json,SmallBank,194,6,17.5122,520.8763
SI-SER,SmallBank_10s_20t_50k_3.json,SmallBank,190,10,16.1304,518.2526
SI-SER,SmallBank_10s_20t_50k_4.json,SmallBank,192,8,15.4751,515.7656
SI-SER,SmallBank_10s_20t_50k_5.json,SmallBank,191,9,17.7262,518.0105
SI-SER,TPCC_10s_20t_50k_1.json,TPCC,190,10,15.5470,574.1842
SI-SER,TPCC_10s_20t_50k_2.json,TPCC,192,8,15.5089,570.2240
SI-SER,TPCC_10s_20t_50k_3.json,TPCC,192,8,15.3183,565.6719
SI-SER,TPCC_10s_20t_50k_4.json,TPCC,182,18,15.4120,566.4835
SI-SER,TPCC_10s_20t_50k_5.json,TPCC,191,9,15.4381,580.0209
PC-SI-SER,Courseware_10s_20t_50k_1.json,Courseware,199,1,31.7435,271.9347
PC-SI-SER,Courseware_10s_20t_50k_2.json,Courseware,198,2,30.3355,263.6061
PC-SI-SER,Courseware_10s_20t_50k_3.json,Courseware,199,1,34.7113,256.4824
PC-SI-SER,Courseware_10s_20t_50k_4.json,Courseware,197,3,24.5881,274.7817
PC-SI-SER,Courseware_10s_20t_50k_5.json,Courseware,197,3,29.2112,274.0609
PC-SI-SER,SmallBank_10s_20t_50k_1.json,SmallBank,197,3,32.3216,244.8376
PC-SI-SER,SmallBank_10s_20t_50k_2.json,SmallBank,198,2,33.6506,245.4343
PC-SI-SER,SmallBank_10s_20t_50k_3.json,SmallBank,197,3,33.9480,236.9543
PC-SI-SER,SmallBank_10s_20t_50k_4.json,SmallBank,196,4,32.4934,236.5153
PC-SI-SER,SmallBank_10s_20t_50k_5.json,SmallBank,193,7,32.3067,237.3212
PC-SI-SER,TPCC_10s_20t_50k_1.json,TPCC,200,0,44.2380,200.0700
PC-SI-SER,TPCC_10s_20t_50k_2.json,TPCC,200,0,47.1698,197.7650
PC-SI-SER,TPCC_10s_20t_50k_3.json,TPCC,200,0,42.4628,201.6500
PC-SI-SER,TPCC_10s_20t_50k_4.json,TPCC,200,0,43.4972,199.3450
PC-SI-SER,TPCC_10s_20t_50k_5.json,TPCC,200,0,47.7213,194.2500
